Dataset,OMOP Concept ID,Domain,Patient Count,Event Count,Description,Terminology,Source Code,Concept Type,Standard OMOP Concept,Mental Disability,Physical Issues,County,Healthcare Facility Type
CPRD AURUM,374336,Condition,2288,5832,Infantile hemiplegia,SNOMED,1593000,Standard,374336.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,374748,Condition,2035,2950,Perinatal anoxic-ischemic brain injury,SNOMED,126945001,Standard,374748.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,374853,Condition,25,30,Tuberculous abscess of brain,SNOMED,186217006,Standard,374853.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,375239,Condition,1049,3307,Degenerative brain disorder,SNOMED,52522001,Standard,375239.0,No,Yes,Kwale,County Hospital
CPRD AURUM,375732,Condition,271,575,Tuberculoma of brain,SNOMED,416265003,Standard,375732.0,No,Yes,Kilifi,Health Center
CPRD AURUM,377085,Condition,191,313,Congenital anomaly of brain,SNOMED,57148006,Standard,377085.0,No,Yes,Lamu,Health Center
CPRD AURUM,377550,Condition,37,40,Compression of brain,SNOMED,46963008,Standard,377550.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,378087,Condition,1220,3252,Secondary malignant neoplasm of brain and spinal cord,SNOMED,188462001,Standard,378087.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,379769,Condition,1794,5379,Benign neoplasm of brain,SNOMED,92030004,Standard,379769.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,380533,Condition,8204,11324,Convulsions in the newborn,SNOMED,87476004,Standard,380533.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,432443,Condition,47,50,Disseminated intravascular coagulation in newborn,SNOMED,34417008,Standard,432443.0,No,Yes,Kwale,County Hospital
CPRD AURUM,432729,Condition,52116,66363,Crying infant,SNOMED,162214009,Standard,432729.0,No,Yes,Lamu,County Hospital
CPRD AURUM,432734,Condition,363,410,Fetal OR neonatal hemorrhage,SNOMED,111467008,Standard,432734.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,433018,Condition,86,88,Fetal or neonatal effect of prolapsed cord,SNOMED,206087008,Standard,433018.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,433027,Condition,359,394,Fetal or neonatal effect of maternal hypertensive disease,SNOMED,268794002,Standard,433027.0,No,Yes,Kwale,County Hospital
CPRD AURUM,433315,Observation,9232,11667,Feeding problems in newborn,SNOMED,72552008,Standard,433315.0,No,Yes,Tana River,Health Center
CPRD AURUM,433589,Condition,43,49,Neonatal aspiration of amniotic fluid,SNOMED,276540001,Standard,433589.0,No,Yes,Kwale,County Hospital
CPRD AURUM,433603,Condition,1926,2258,Hemolytic disease of fetus OR newborn due to RhD isoimmunization,SNOMED,86986002,Standard,433603.0,No,Yes,Tana River,Health Center
CPRD AURUM,433604,Condition,89,89,Transient neonatal disorder of coagulation,SNOMED,32605001,Standard,433604.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,434012,Condition,4991,7651,Developmental dyslexia,SNOMED,192138007,Standard,434012.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,434154,Condition,77,88,Neonatal aspiration syndromes,SNOMED,276533002,Standard,434154.0,No,Yes,Lamu,County Hospital
CPRD AURUM,434155,Condition,171,201,"Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn",SNOMED,206397006,Standard,434155.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,434309,Condition,1073,2255,Precocious sexual development,SNOMED,123527003,Source,4267558.0,No,Yes,Lamu,County Hospital
CPRD AURUM,434474,Condition,154,190,Late metabolic acidosis of newborn,SNOMED,9635004,Standard,434474.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,434480,Condition,564,629,Syndrome of infant of diabetic mother,SNOMED,21584002,Standard,434480.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,434744,Condition,274,331,Fetal or neonatal effect of maternal medical problem,SNOMED,206002004,Standard,434744.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,434972,Condition,247,273,Developmental abnormality of tooth size and form,SNOMED,266415009,Standard,434972.0,No,Yes,Mombasa,Health Center
CPRD AURUM,435076,Condition,684,1612,Transient neonatal thrombocytopenia,SNOMED,23205009,Standard,435076.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,435232,Condition,65312,89197,Disorder of speech and language development,SNOMED,268672004,Standard,435232.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,435244,Condition,73463,142997,Developmental disorder,SNOMED,5294002,Standard,435244.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,435358,Condition,1140,1289,Hemorrhagic disease of the newborn due to vitamin K deficiency,SNOMED,12546009,Standard,435358.0,No,Yes,Lamu,County Hospital
CPRD AURUM,435369,Condition,1462,1700,"Fetal distress, in liveborn infant",SNOMED,90562004,Standard,435369.0,No,Yes,Lamu,County Hospital
CPRD AURUM,435656,Condition,66865,77388,Neonatal jaundice,SNOMED,387712008,Standard,435656.0,No,Yes,Lamu,Health Center
CPRD AURUM,435775,Condition,121,176,Genetic anomaly of leukocyte,SNOMED,47986005,Standard,435775.0,No,Yes,Lamu,County Hospital
CPRD AURUM,435927,Condition,125,149,Fetal or neonatal effect of complication of labor and/or delivery,SNOMED,76012002,Standard,435927.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,435937,Condition,4413,5186,Sudden infant death syndrome,SNOMED,51178009,Standard,435937.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,436077,Condition,15545,25212,Developmental delay,SNOMED,248290002,Standard,436077.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,436219,Condition,154,175,Fetal or neonatal effect of maternal infection,SNOMED,206005002,Standard,436219.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,436373,Condition,9302,12393,Developmental speech disorder,SNOMED,1145003,Standard,436373.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,436529,Condition,115,163,Hemorrhage of newborn,SNOMED,85539001,Standard,436529.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,436534,Condition,4049,4483,Hypothermia of newborn,SNOMED,13629008,Standard,436534.0,No,Yes,Lamu,Health Center
CPRD AURUM,437090,Condition,854,947,Hemolytic disease of fetus OR newborn due to ABO immunization,SNOMED,32858009,Standard,437090.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,437092,Condition,439,769,Physiological development failure,SNOMED,274626005,Standard,437092.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,437261,Condition,138,182,Hyperkinesis with developmental delay,SNOMED,192131001,Standard,437261.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,437316,Condition,37,39,Non-odontogenic developmental cyst of jaw,SNOMED,196452003,Standard,437316.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,437902,Condition,1853,2108,Tooth development and eruption disorder,SNOMED,266413002,Source,4122116.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,437985,Condition,31,32,Disturbance of temperature regulation of newborn,SNOMED,68550008,Standard,437985.0,No,Yes,Lamu,Health Center
CPRD AURUM,439128,Condition,392,481,Extreme prematurity of infant,SNOMED,276658003,Standard,439128.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,439137,Condition,1054,1221,Neonatal jaundice due to delayed conjugation,SNOMED,17140000,Standard,439137.0,No,Yes,Tana River,County Hospital
CPRD AURUM,439140,Condition,1600,1791,Neonatal polycythemia,SNOMED,32984002,Standard,439140.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,439149,Condition,70,79,Transient neonatal neutropenia,SNOMED,55444004,Standard,439149.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,439702,Condition,22,40,Residual infantile autism,SNOMED,191690004,Standard,439702.0,No,Yes,Lamu,County Hospital
CPRD AURUM,439703,Condition,158,391,Active infantile autism,SNOMED,191689008,Standard,439703.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,440203,Condition,185,212,Fetal or neonatal effect of condition of umbilical cord,SNOMED,81402009,Standard,440203.0,No,Yes,Kilifi,Health Center
CPRD AURUM,440218,Condition,2488,3632,Hemolytic disease of fetus OR newborn due to isoimmunization,SNOMED,387705004,Standard,440218.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,440840,Condition,23927,35346,Neonatal candidiasis,SNOMED,414821002,Standard,440840.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,440847,Condition,6478,7324,Neonatal jaundice associated with preterm delivery,SNOMED,73749009,Standard,440847.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,441274,Condition,1441,1728,Developmental expressive language disorder,SNOMED,268734000,Standard,441274.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,441544,Condition,160,1212,Specific nonpsychotic mental disorders following organic brain damage,SNOMED,192069009,Standard,441544.0,No,Yes,Lamu,Health Center
CPRD AURUM,443361,Condition,4443,6189,Developmental language disorder,SNOMED,280032002,Standard,443361.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,443588,Condition,12766,58559,Malignant neoplasm of brain,SNOMED,428061005,Standard,443588.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,506621,Procedure,44,45,Mild cognitive impairment annual review,SNOMED,1.05E+15,Standard,506621.0,No,Yes,Tana River,County Hospital
CPRD AURUM,506751,Observation,1450,1921,Provision of information about infant safe sleeping,SNOMED,1.05E+15,Standard,506751.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,586310,Measurement,85711,134215,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Genetic material using Molecular method,OMOP Extension,OMOP4912985,Standard,586310.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,3531539,Procedure,43,43,Other specified major excision of brain tissue,SNOMED,5.43E+14,Source,,No,Yes,Tana River,County Hospital
CPRD AURUM,3531540,Procedure,43,43,Major excision of brain tissue NOS,SNOMED,5.43E+14,Source,4063526.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,3531811,Procedure,43,43,Other biopsy of lesion of brain tissue,SNOMED,5.47E+14,Source,4045859.0,No,Yes,Mombasa,Health Center
CPRD AURUM,3535807,Condition,255,265,Newborn physiological jaundice NOS,SNOMED,6.11E+14,Source,4173180.0,No,Yes,Lamu,County Hospital
CPRD AURUM,3536074,Procedure,107,109,Other operation on brain tissue NOS,SNOMED,6.15E+14,Source,4323283.0,No,Yes,Lamu,County Hospital
CPRD AURUM,3536953,Procedure,46,87,Other operations on connection from ventricle of brain,SNOMED,6.28E+14,Source,4120973.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,3539861,Condition,36,36,"Newborn cerebral irritability, unspecified",SNOMED,6.71E+14,Source,4171109.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,3540967,Condition,2842,5035,Developmental disorder NOS,SNOMED,6.86E+14,Source,435244.0,No,Yes,Mombasa,Health Center
CPRD AURUM,3557654,Condition,40,47,Haemolytic disease of foetus and newborn due to isoimmunisation NOS,SNOMED,5.82E+14,Source,440218.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,3558183,Condition,45,46,Other hypothermia of newborn,SNOMED,7.00E+14,Source,436534.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,3582813,Condition,173,365,Brain conditions NOS,SNOMED,5.84E+14,Source,,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,3655953,Condition,25,38,Contusion of hindbrain,SNOMED,870540001,Standard,3655953.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4001336,Condition,93417,113772,Concussion injury of brain,SNOMED,110030002,Standard,4001336.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4005284,Condition,60,70,Fetal or neonatal effect of maternal use of alcohol,SNOMED,205791004,Standard,4005284.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4006277,Condition,4251,5243,Neonatal hypotonia,SNOMED,205294008,Standard,4006277.0,No,Yes,Lamu,Health Center
CPRD AURUM,4010765,Observation,286,288,Electrical engineer - research/development,SNOMED,159208000,Standard,4010765.0,No,Yes,Kwale,Health Center
CPRD AURUM,4010769,Observation,83,83,Chemical engineer - research/development,SNOMED,159217000,Standard,4010769.0,No,Yes,Kwale,Health Center
CPRD AURUM,4011089,Observation,3459,3651,Teacher - infant class,SNOMED,158907006,Standard,4011089.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4011603,Observation,311,313,Mechanical engineer - research/development,SNOMED,159189004,Standard,4011603.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4011607,Observation,74,76,Aeronautical engineer - research/development,SNOMED,159199009,Standard,4011607.0,No,Yes,Kwale,Health Center
CPRD AURUM,4011616,Condition,4773,6454,Premature development of the breasts,SNOMED,102889008,Standard,4011616.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4012466,Procedure,26340,31653,"Assessment and interpretation of higher cerebral function, cognitive testing",SNOMED,113024001,Standard,4012466.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4014439,Observation,63720,81213,Infant feeding method,SNOMED,169740003,Standard,4014439.0,No,Yes,Tana River,Health Center
CPRD AURUM,4014595,Observation,1181,1200,Infant feeding method at 9 months,SNOMED,169990005,Standard,4014595.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,4014608,Observation,4052,5355,Infant milestone,SNOMED,170089007,Standard,4014608.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4014721,Observation,120765,123794,Infant feeding method at 10 days,SNOMED,169966009,Standard,4014721.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4014723,Observation,10009,10210,Infant feeding method at 6 weeks,SNOMED,169971002,Standard,4014723.0,No,Yes,Lamu,Health Center
CPRD AURUM,4014725,Observation,610,637,Infant feeding method at 6 months,SNOMED,169983000,Standard,4014725.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4014865,Procedure,168971,231952,Child examination: fine motor development,SNOMED,170219006,Standard,4014865.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4014866,Procedure,92631,146870,Child examination: social development,SNOMED,170220000,Standard,4014866.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4014867,Procedure,121404,152981,Child examination: language development,SNOMED,170221001,Standard,4014867.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4015145,Observation,6393,8045,Infant weaned,SNOMED,169749002,Standard,4015145.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4015448,Procedure,255094,347780,Child examination: gross motor development,SNOMED,170218003,Standard,4015448.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4016061,Condition,218,229,High risk infant,SNOMED,169948004,Standard,4016061.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4016066,Observation,849,868,Infant feeding method at 3 months,SNOMED,169977003,Standard,4016066.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4016479,Observation,602,610,Infant feeding method at 1 year,SNOMED,169997008,Standard,4016479.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4016540,Condition,217,489,Focal brain injury,SNOMED,210038008,Standard,4016540.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4019350,Condition,25,38,Closed hindbrain contusion,SNOMED,209871005,Source,3655953.0,No,Yes,Kwale,Health Center
CPRD AURUM,4021766,Condition,476,589,"Hypoxia, asphyxia AND/OR other respiratory condition of fetus AND/OR newborn",SNOMED,106012007,Standard,4021766.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4025367,Condition,12951,27645,Genetic finding,SNOMED,106221001,Standard,4025367.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4027604,Condition,33175,68568,Specific developmental disorder,SNOMED,10720004,Source,435244.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4041276,Condition,44,56,Finding related to development of sexuality,SNOMED,118201000,Standard,4041276.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4041659,Observation,2322,4056,Finding relating to infant feeding,SNOMED,230126006,Standard,4041659.0,No,Yes,Kwale,Health Center
CPRD AURUM,4043063,Observation,52,52,Neurodevelopmental techniques,SNOMED,228529001,Standard,4043063.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4043071,Procedure,58067,106103,Cognitive and behavioral therapy,SNOMED,228557008,Standard,4043071.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4043414,Condition,177,410,Early infantile epileptic encephalopathy with suppression bursts,SNOMED,230429005,Standard,4043414.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4045461,Procedure,893,1014,External drainage procedure from ventricle of brain,SNOMED,230869001,Standard,4045461.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4045858,Procedure,45,49,Focal excision of brain abscess,SNOMED,230838000,Standard,4045858.0,No,Yes,Kwale,Health Center
CPRD AURUM,4045859,Procedure,1670,2444,Biopsy of brain tissue,SNOMED,230842002,Standard,4045859.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4046034,Observation,42,43,Newborn,SNOMED,133933007,Standard,4046034.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4046932,Procedure,632,2072,Deep brain stimulation,SNOMED,230861003,Standard,4046932.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4047110,Condition,149,352,Language-related cognitive disorder,SNOMED,229676007,Standard,4047110.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4047587,Condition,46,56,Fetal or neonatal effect of placental or breast transfer of narcotics,SNOMED,206017000,Standard,4047587.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4047593,Condition,68,69,Fetal or neonatal effect of external version before labor,SNOMED,206055005,Standard,4047593.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4047718,Condition,8745,9305,Fetal or neonatal effect of forceps delivery,SNOMED,206121009,Standard,4047718.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4047719,Condition,3594,3845,Fetal or neonatal effect of vacuum extraction delivery,SNOMED,206122002,Standard,4047719.0,No,Yes,Lamu,Health Center
CPRD AURUM,4047723,Condition,30,32,Fetal or neonatal effect of instrumental delivery,SNOMED,206149002,Standard,4047723.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4047732,Condition,212,262,Cerebral hematoma in fetus or newborn,SNOMED,206194008,Standard,4047732.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4047878,Condition,95,99,Fetal or neonatal effect of maternal problem unrelated to pregnancy,SNOMED,206001006,Standard,4047878.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4047937,Condition,780,2396,Neonatal urinary tract infection,SNOMED,12301009,Standard,4047937.0,No,Yes,Tana River,County Hospital
CPRD AURUM,4047992,Condition,258,282,Fetal or neonatal effect of breech presentation before labor,SNOMED,206054009,Standard,4047992.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4048002,Condition,88,92,Fetal or neonatal effect of umbilical cord around neck,SNOMED,206089006,Standard,4048002.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4048133,Condition,20,33,Extradural hemorrhage in fetus or newborn,SNOMED,206195009,Standard,4048133.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4048150,Condition,78,97,Neonatal aspiration of milk and regurgitated food,SNOMED,206296004,Standard,4048150.0,No,Yes,Lamu,Health Center
CPRD AURUM,4048277,Condition,173,189,"Intraventricular (nontraumatic) hemorrhage, grade 1, of fetus and newborn",SNOMED,206395003,Standard,4048277.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4048278,Condition,313,363,"Intraventricular (nontraumatic) hemorrhage, grade 2, of fetus and newborn",SNOMED,206396002,Standard,4048278.0,No,Yes,Kwale,Health Center
CPRD AURUM,4048290,Condition,253,316,Neonatal jaundice due to glucose-6-phosphate dehydrogenase deficiency,SNOMED,206439006,Standard,4048290.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4048457,Condition,33,35,Aspiration of vomit in newborn,SNOMED,206295000,Standard,4048457.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4048594,Condition,180,217,Sepsis of newborn due to Staphylococcus aureus,SNOMED,206378006,Standard,4048594.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4048603,Condition,32,34,Neonatal vaginal hemorrhage,SNOMED,206409001,Standard,4048603.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4048608,Condition,41,46,Neonatal melena,SNOMED,206424005,Standard,4048608.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,4048614,Condition,25,29,Neonatal jaundice with Gilbert's syndrome,SNOMED,206456003,Standard,4048614.0,No,Yes,Tana River,Health Center
CPRD AURUM,4048620,Condition,161,185,Transitory neonatal hypernatremia,SNOMED,206489003,Standard,4048620.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4048751,Condition,312,365,Neonatal skin infection,SNOMED,206554002,Standard,4048751.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4048755,Condition,1493,1788,Neonatal withdrawal symptoms from maternal use of drugs of addiction,SNOMED,206572008,Standard,4048755.0,No,Yes,Tana River,Health Center
CPRD AURUM,4048926,Condition,318,346,Transitory neonatal hyponatremia,SNOMED,206490007,Standard,4048926.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4048927,Condition,30,34,Transitory neonatal hypokalemia,SNOMED,206492004,Standard,4048927.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4048938,Procedure,162,169,Removal of shunt tubing from ventricle of brain,SNOMED,230879004,Standard,4048938.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4049028,Condition,29,34,Transient neonatal thrombocytopenia due to idiopathic maternal thrombocytopenia,SNOMED,206511007,Standard,4049028.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4049041,Observation,2420,2640,Overfeeding in newborn,SNOMED,206567004,Standard,4049041.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4049042,Condition,36,37,Newborn drug reaction and intoxication,SNOMED,206570000,Standard,4049042.0,No,Yes,Lamu,Health Center
CPRD AURUM,4049043,Condition,150,233,Neonatal cerebral ischemia,SNOMED,206576006,Standard,4049043.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4051007,Condition,3323,4313,Normal growth and development for age,SNOMED,23397005,Standard,4051007.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4051266,Observation,3391,3940,FH: Sudden infant death,SNOMED,160471004,Standard,4051266.0,No,Yes,Kwale,Health Center
CPRD AURUM,4058316,Procedure,46,46,Fluoroscopy - brain,SNOMED,168997003,Standard,4058316.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4058459,Procedure,443,527,Isotope static scan brain,SNOMED,169139005,Standard,4058459.0,No,Yes,Lamu,Health Center
CPRD AURUM,4058464,Procedure,894,1061,Isotope brain angiography,SNOMED,169161000,Standard,4058464.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4059000,Observation,72858,113409,Infant feeding problem,SNOMED,161838002,Standard,4059000.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4059646,Observation,1543,1839,Sudden infant death,SNOMED,160957000,Standard,4059646.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4060196,Observation,11392,13542,H/O: infant breast fed,SNOMED,161768001,Standard,4060196.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4060197,Observation,8299,9915,History of being infant bottle fed,SNOMED,161769009,Standard,4060197.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4060502,Procedure,186,187,Stereotactic/stereoscopic test - brain,SNOMED,169086006,Standard,4060502.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4060747,Procedure,44,44,Radiotherapy: infuse skull/brain,SNOMED,169350000,Standard,4060747.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4060980,Condition,10339,12289,On examination - physiological development normal,SNOMED,162843006,Standard,4060980.0,No,Yes,Mombasa,Private Clinic
